num	glyph	G0-source	description
1389	鹃	G0-3E69	GB/T 2312—1980，30—73
1390	娟	G0-3E6A	GB/T 2312—1980，30—74
1391	倦	G0-3E6B	GB/T 2312—1980，30—75
1392	眷	G0-3E6C	GB/T 2312—1980，30—76
1393	卷	G0-3E6D	GB/T 2312—1980，30—77
1394	绢	G0-3E6E	GB/T 2312—1980，30—78
1395	撅	G0-3E6F	GB/T 2312—1980，30—79
1396	攫	G0-3E70	GB/T 2312—1980，30—80
1397	抉	G0-3E71	GB/T 2312—1980，30—81
1398	掘	G0-3E72	GB/T 2312—1980，30—82
1399	倔	G0-3E73	GB/T 2312—1980，30—83
1400	爵	G0-3E74	GB/T 2312—1980，30—84
1401	觉	G0-3E75	GB/T 2312—1980，30—85
1402	决	G0-3E76	GB/T 2312—1980，30—86
1403	诀	G0-3E77	GB/T 2312—1980，30—87
1404	绝	G0-3E78	GB/T 2312—1980，30—88
1405	均	G0-3E79	GB/T 2312—1980，30—89
1406	菌	G0-3E7A	GB/T 2312—1980，30—90
1407	钧	G0-3E7B	GB/T 2312—1980，30—91
1408	军	G0-3E7C	GB/T 2312—1980，30—92
1409	君	G0-3E7D	GB/T 2312—1980，30—93
1410	峻	G0-3E7E	GB/T 2312—1980，30—94
1411	俊	G0-3F21	GB/T 2312—1980，31—01
1412	竣	G0-3F22	GB/T 2312—1980，31—02
1413	浚	G0-3F23	GB/T 2312—1980，31—03
1414	郡	G0-3F24	GB/T 2312—1980，31—04
1415	骏	G0-3F25	GB/T 2312—1980，31—05
1416	喀	G0-3F26	GB/T 2312—1980，31—06
1417	咖	G0-3F27	GB/T 2312—1980，31—07
1418	卡	G0-3F28	GB/T 2312—1980，31—08
1419	咯	G0-3F29	GB/T 2312—1980，31—09
1420	开	G0-3F2A	GB/T 2312—1980，31—10
1421	揩	G0-3F2B	GB/T 2312—1980，31—11
1422	楷	G0-3F2C	GB/T 2312—1980，31—12
1423	凯	G0-3F2D	GB/T 2312—1980，31—13
1424	慨	G0-3F2E	GB/T 2312—1980，31—14
1425	刊	G0-3F2F	GB/T 2312—1980，31—15
1426	堪	G0-3F30	GB/T 2312—1980，31—16
1427	勘	G0-3F31	GB/T 2312—1980，31—17
1428	坎	G0-3F32	GB/T 2312—1980，31—18
1429	砍	G0-3F33	GB/T 2312—1980，31—19
1430	看	G0-3F34	GB/T 2312—1980，31—20
1431	康	G0-3F35	GB/T 2312—1980，31—21
1432	慷	G0-3F36	GB/T 2312—1980，31—22
1433	糠	G0-3F37	GB/T 2312—1980，31—23
1434	扛	G0-3F38	GB/T 2312—1980，31—24
1435	抗	G0-3F39	GB/T 2312—1980，31—25
1436	亢	G0-3F3A	GB/T 2312—1980，31—26
1437	炕	G0-3F3B	GB/T 2312—1980，31—27
1438	考	G0-3F3C	GB/T 2312—1980，31—28
1439	拷	G0-3F3D	GB/T 2312—1980，31—29
1440	烤	G0-3F3E	GB/T 2312—1980，31—30
1441	靠	G0-3F3F	GB/T 2312—1980，31—31
1442	坷	G0-3F40	GB/T 2312—1980，31—32
1443	苛	G0-3F41	GB/T 2312—1980，31—33
1444	柯	G0-3F42	GB/T 2312—1980，31—34
1445	棵	G0-3F43	GB/T 2312—1980，31—35
1446	磕	G0-3F44	GB/T 2312—1980，31—36
1447	颗	G0-3F45	GB/T 2312—1980，31—37
1448	科	G0-3F46	GB/T 2312—1980，31—38
1449	壳	G0-3F47	GB/T 2312—1980，31—39
1450	咳	G0-3F48	GB/T 2312—1980，31—40
1451	可	G0-3F49	GB/T 2312—1980，31—41
1452	渴	G0-3F4A	GB/T 2312—1980，31—42
1453	克	G0-3F4B	GB/T 2312—1980，31—43
1454	刻	G0-3F4C	GB/T 2312—1980，31—44
1455	客	G0-3F4D	GB/T 2312—1980，31—45
1456	课	G0-3F4E	GB/T 2312—1980，31—46
1457	肯	G0-3F4F	GB/T 2312—1980，31—47
1458	啃	G0-3F50	GB/T 2312—1980，31—48
1459	垦	G0-3F51	GB/T 2312—1980，31—49
1460	恳	G0-3F52	GB/T 2312—1980，31—50
1461	坑	G0-3F53	GB/T 2312—1980，31—51
1462	吭	G0-3F54	GB/T 2312—1980，31—52
1463	空	G0-3F55	GB/T 2312—1980，31—53
1464	恐	G0-3F56	GB/T 2312—1980，31—54
1465	孔	G0-3F57	GB/T 2312—1980，31—55
1466	控	G0-3F58	GB/T 2312—1980，31—56
1467	抠	G0-3F59	GB/T 2312—1980，31—57
1468	口	G0-3F5A	GB/T 2312—1980，31—58
1469	扣	G0-3F5B	GB/T 2312—1980，31—59
1470	寇	G0-3F5C	GB/T 2312—1980，31—60
1471	枯	G0-3F5D	GB/T 2312—1980，31—61
1472	哭	G0-3F5E	GB/T 2312—1980，31—62
1473	窟	G0-3F5F	GB/T 2312—1980，31—63
1474	苦	G0-3F60	GB/T 2312—1980，31—64
1475	酷	G0-3F61	GB/T 2312—1980，31—65
1476	库	G0-3F62	GB/T 2312—1980，31—66
1477	裤	G0-3F63	GB/T 2312—1980，31—67
1478	夸	G0-3F64	GB/T 2312—1980，31—68
1479	垮	G0-3F65	GB/T 2312—1980，31—69
1480	挎	G0-3F66	GB/T 2312—1980，31—70
1481	跨	G0-3F67	GB/T 2312—1980，31—71
1482	胯	G0-3F68	GB/T 2312—1980，31—72
1483	块	G0-3F69	GB/T 2312—1980，31—73
1484	筷	G0-3F6A	GB/T 2312—1980，31—74
1485	侩	G0-3F6B	GB/T 2312—1980，31—75
1486	快	G0-3F6C	GB/T 2312—1980，31—76
1487	宽	G0-3F6D	GB/T 2312—1980，31—77
1488	款	G0-3F6E	GB/T 2312—1980，31—78
1489	匡	G0-3F6F	GB/T 2312—1980，31—79
1490	筐	G0-3F70	GB/T 2312—1980，31—80
1491	狂	G0-3F71	GB/T 2312—1980，31—81
1492	框	G0-3F72	GB/T 2312—1980，31—82
1493	矿	G0-3F73	GB/T 2312—1980，31—83
1494	眶	G0-3F74	GB/T 2312—1980，31—84
1495	旷	G0-3F75	GB/T 2312—1980，31—85
1496	况	G0-3F76	GB/T 2312—1980，31—86
1497	亏	G0-3F77	GB/T 2312—1980，31—87
1498	盔	G0-3F78	GB/T 2312—1980，31—88
1499	岿	G0-3F79	GB/T 2312—1980，31—89
1500	窥	G0-3F7A	GB/T 2312—1980，31—90
1501	葵	G0-3F7B	GB/T 2312—1980，31—91
1502	奎	G0-3F7C	GB/T 2312—1980，31—92
1503	魁	G0-3F7D	GB/T 2312—1980，31—93
1504	傀	G0-3F7E	GB/T 2312—1980，31—94
1505	馈	G0-4021	GB/T 2312—1980，32—01
1506	愧	G0-4022	GB/T 2312—1980，32—02
1507	溃	G0-4023	GB/T 2312—1980，32—03
1508	坤	G0-4024	GB/T 2312—1980，32—04
1509	昆	G0-4025	GB/T 2312—1980，32—05
1510	捆	G0-4026	GB/T 2312—1980，32—06
1511	困	G0-4027	GB/T 2312—1980，32—07
1512	括	G0-4028	GB/T 2312—1980，32—08
1513	扩	G0-4029	GB/T 2312—1980，32—09
1514	廓	G0-402A	GB/T 2312—1980，32—10
1515	阔	G0-402B	GB/T 2312—1980，32—11
1516	垃	G0-402C	GB/T 2312—1980，32—12
1517	拉	G0-402D	GB/T 2312—1980，32—13
1518	喇	G0-402E	GB/T 2312—1980，32—14
1519	蜡	G0-402F	GB/T 2312—1980，32—15
1520	腊	G0-4030	GB/T 2312—1980，32—16
1521	辣	G0-4031	GB/T 2312—1980，32—17
1522	啦	G0-4032	GB/T 2312—1980，32—18
1523	莱	G0-4033	GB/T 2312—1980，32—19
1524	来	G0-4034	GB/T 2312—1980，32—20
1525	赖	G0-4035	GB/T 2312—1980，32—21
1526	蓝	G0-4036	GB/T 2312—1980，32—22
1527	婪	G0-4037	GB/T 2312—1980，32—23
1528	栏	G0-4038	GB/T 2312—1980，32—24
1529	拦	G0-4039	GB/T 2312—1980，32—25
1530	篮	G0-403A	GB/T 2312—1980，32—26
1531	阑	G0-403B	GB/T 2312—1980，32—27
1532	兰	G0-403C	GB/T 2312—1980，32—28
1533	澜	G0-403D	GB/T 2312—1980，32—29
1534	谰	G0-403E	GB/T 2312—1980，32—30
1535	揽	G0-403F	GB/T 2312—1980，32—31
1536	览	G0-4040	GB/T 2312—1980，32—32
1537	懒	G0-4041	GB/T 2312—1980，32—33
1538	缆	G0-4042	GB/T 2312—1980，32—34
1539	烂	G0-4043	GB/T 2312—1980，32—35
1540	滥	G0-4044	GB/T 2312—1980，32—36
1541	琅	G0-4045	GB/T 2312—1980，32—37
1542	榔	G0-4046	GB/T 2312—1980，32—38
1543	狼	G0-4047	GB/T 2312—1980，32—39
1544	廊	G0-4048	GB/T 2312—1980，32—40
1545	郎	G0-4049	GB/T 2312—1980，32—41
1546	朗	G0-404A	GB/T 2312—1980，32—42
1547	浪	G0-404B	GB/T 2312—1980，32—43
1548	捞	G0-404C	GB/T 2312—1980，32—44
1549	劳	G0-404D	GB/T 2312—1980，32—45
1550	牢	G0-404E	GB/T 2312—1980，32—46
1551	老	G0-404F	GB/T 2312—1980，32—47
1552	佬	G0-4050	GB/T 2312—1980，32—48
1553	姥	G0-4051	GB/T 2312—1980，32—49
1554	酪	G0-4052	GB/T 2312—1980，32—50
1555	烙	G0-4053	GB/T 2312—1980，32—51
1556	涝	G0-4054	GB/T 2312—1980，32—52
1557	勒	G0-4055	GB/T 2312—1980，32—53
1558	乐	G0-4056	GB/T 2312—1980，32—54
1559	雷	G0-4057	GB/T 2312—1980，32—55
1560	镭	G0-4058	GB/T 2312—1980，32—56
1561	蕾	G0-4059	GB/T 2312—1980，32—57
1562	磊	G0-405A	GB/T 2312—1980，32—58
1563	累	G0-405B	GB/T 2312—1980，32—59
1564	儡	G0-405C	GB/T 2312—1980，32—60
1565	垒	G0-405D	GB/T 2312—1980，32—61
1566	擂	G0-405E	GB/T 2312—1980，32—62
1567	肋	G0-405F	GB/T 2312—1980，32—63
1568	类	G0-4060	GB/T 2312—1980，32—64
1569	泪	G0-4061	GB/T 2312—1980，32—65
1570	棱	G0-4062	GB/T 2312—1980，32—66
1571	楞	G0-4063	GB/T 2312—1980，32—67
1572	冷	G0-4064	GB/T 2312—1980，32—68
1573	厘	G0-4065	GB/T 2312—1980，32—69
1574	梨	G0-4066	GB/T 2312—1980，32—70
1575	犁	G0-4067	GB/T 2312—1980，32—71
1576	黎	G0-4068	GB/T 2312—1980，32—72
1577	篱	G0-4069	GB/T 2312—1980，32—73
1578	狸	G0-406A	GB/T 2312—1980，32—74
1579	离	G0-406B	GB/T 2312—1980，32—75
1580	漓	G0-406C	GB/T 2312—1980，32—76
1581	理	G0-406D	GB/T 2312—1980，32—77
1582	李	G0-406E	GB/T 2312—1980，32—78
1583	里	G0-406F	GB/T 2312—1980，32—79
1584	鲤	G0-4070	GB/T 2312—1980，32—80
1585	礼	G0-4071	GB/T 2312—1980，32—81
1586	莉	G0-4072	GB/T 2312—1980，32—82
1587	荔	G0-4073	GB/T 2312—1980，32—83
1588	吏	G0-4074	GB/T 2312—1980，32—84
1589	栗	G0-4075	GB/T 2312—1980，32—85
1590	丽	G0-4076	GB/T 2312—1980，32—86
1591	厉	G0-4077	GB/T 2312—1980，32—87
1592	励	G0-4078	GB/T 2312—1980，32—88
1593	砾	G0-4079	GB/T 2312—1980，32—89
1594	历	G0-407A	GB/T 2312—1980，32—90
1595	利	G0-407B	GB/T 2312—1980，32—91
1596	傈	G0-407C	GB/T 2312—1980，32—92
1597	例	G0-407D	GB/T 2312—1980，32—93
1598	俐	G0-407E	GB/T 2312—1980，32—94
1599	痢	G0-4121	GB/T 2312—1980，33—01
1600	立	G0-4122	GB/T 2312—1980，33—02
1601	粒	G0-4123	GB/T 2312—1980，33—03
1602	沥	G0-4124	GB/T 2312—1980，33—04
1603	隶	G0-4125	GB/T 2312—1980，33—05
1604	力	G0-4126	GB/T 2312—1980，33—06
1605	璃	G0-4127	GB/T 2312—1980，33—07
1606	哩	G0-4128	GB/T 2312—1980，33—08
1607	俩	G0-4129	GB/T 2312—1980，33—09
1608	联	G0-412A	GB/T 2312—1980，33—10
1609	莲	G0-412B	GB/T 2312—1980，33—11
1610	连	G0-412C	GB/T 2312—1980，33—12
1611	镰	G0-412D	GB/T 2312—1980，33—13
1612	廉	G0-412E	GB/T 2312—1980，33—14
1613	怜	G0-412F	GB/T 2312—1980，33—15
1614	涟	G0-4130	GB/T 2312—1980，33—16
1615	帘	G0-4131	GB/T 2312—1980，33—17
1616	敛	G0-4132	GB/T 2312—1980，33—18
1617	脸	G0-4133	GB/T 2312—1980，33—19
1618	链	G0-4134	GB/T 2312—1980，33—20
1619	恋	G0-4135	GB/T 2312—1980，33—21
1620	炼	G0-4136	GB/T 2312—1980，33—22
1621	练	G0-4137	GB/T 2312—1980，33—23
1622	粮	G0-4138	GB/T 2312—1980，33—24
1623	凉	G0-4139	GB/T 2312—1980，33—25
1624	梁	G0-413A	GB/T 2312—1980，33—26
1625	粱	G0-413B	GB/T 2312—1980，33—27
1626	良	G0-413C	GB/T 2312—1980，33—28
1627	两	G0-413D	GB/T 2312—1980，33—29
1628	辆	G0-413E	GB/T 2312—1980，33—30
1629	量	G0-413F	GB/T 2312—1980，33—31
1630	晾	G0-4140	GB/T 2312—1980，33—32
1631	亮	G0-4141	GB/T 2312—1980，33—33
1632	谅	G0-4142	GB/T 2312—1980，33—34
1633	撩	G0-4143	GB/T 2312—1980，33—35
1634	聊	G0-4144	GB/T 2312—1980，33—36
1635	僚	G0-4145	GB/T 2312—1980，33—37
1636	疗	G0-4146	GB/T 2312—1980，33—38
1637	燎	G0-4147	GB/T 2312—1980，33—39
1638	寥	G0-4148	GB/T 2312—1980，33—40
1639	辽	G0-4149	GB/T 2312—1980，33—41
1640	潦	G0-414A	GB/T 2312—1980，33—42
1641	了	G0-414B	GB/T 2312—1980，33—43
1642	撂	G0-414C	GB/T 2312—1980，33—44
1643	镣	G0-414D	GB/T 2312—1980，33—45
1644	廖	G0-414E	GB/T 2312—1980，33—46
1645	料	G0-414F	GB/T 2312—1980，33—47
1646	列	G0-4150	GB/T 2312—1980，33—48
1647	裂	G0-4151	GB/T 2312—1980，33—49
1648	烈	G0-4152	GB/T 2312—1980，33—50
1649	劣	G0-4153	GB/T 2312—1980，33—51
1650	猎	G0-4154	GB/T 2312—1980，33—52
1651	琳	G0-4155	GB/T 2312—1980，33—53
1652	林	G0-4156	GB/T 2312—1980，33—54
1653	磷	G0-4157	GB/T 2312—1980，33—55
1654	霖	G0-4158	GB/T 2312—1980，33—56
1655	临	G0-4159	GB/T 2312—1980，33—57
1656	邻	G0-415A	GB/T 2312—1980，33—58
1657	鳞	G0-415B	GB/T 2312—1980，33—59
1658	淋	G0-415C	GB/T 2312—1980，33—60
1659	凛	G0-415D	GB/T 2312—1980，33—61
1660	赁	G0-415E	GB/T 2312—1980，33—62
1661	吝	G0-415F	GB/T 2312—1980，33—63
1662	拎	G0-4160	GB/T 2312—1980，33—64
1663	玲	G0-4161	GB/T 2312—1980，33—65
1664	菱	G0-4162	GB/T 2312—1980，33—66
1665	零	G0-4163	GB/T 2312—1980，33—67
1666	龄	G0-4164	GB/T 2312—1980，33—68
1667	铃	G0-4165	GB/T 2312—1980，33—69
1668	伶	G0-4166	GB/T 2312—1980，33—70
1669	羚	G0-4167	GB/T 2312—1980，33—71
1670	凌	G0-4168	GB/T 2312—1980，33—72
1671	灵	G0-4169	GB/T 2312—1980，33—73
1672	陵	G0-416A	GB/T 2312—1980，33—74
1673	岭	G0-416B	GB/T 2312—1980，33—75
1674	领	G0-416C	GB/T 2312—1980，33—76
1675	另	G0-416D	GB/T 2312—1980，33—77
1676	令	G0-416E	GB/T 2312—1980，33—78
1677	溜	G0-416F	GB/T 2312—1980，33—79
1678	琉	G0-4170	GB/T 2312—1980，33—80
1679	榴	G0-4171	GB/T 2312—1980，33—81
1680	硫	G0-4172	GB/T 2312—1980，33—82
1681	馏	G0-4173	GB/T 2312—1980，33—83
1682	留	G0-4174	GB/T 2312—1980，33—84
1683	刘	G0-4175	GB/T 2312—1980，33—85
1684	瘤	G0-4176	GB/T 2312—1980，33—86
1685	流	G0-4177	GB/T 2312—1980，33—87
1686	柳	G0-4178	GB/T 2312—1980，33—88
1687	六	G0-4179	GB/T 2312—1980，33—89
1688	龙	G0-417A	GB/T 2312—1980，33—90
1689	聋	G0-417B	GB/T 2312—1980，33—91
1690	咙	G0-417C	GB/T 2312—1980，33—92
1691	笼	G0-417D	GB/T 2312—1980，33—93
1692	窿	G0-417E	GB/T 2312—1980，33—94
1693	隆	G0-4221	GB/T 2312—1980，34—01
1694	垄	G0-4222	GB/T 2312—1980，34—02
1695	拢	G0-4223	GB/T 2312—1980，34—03
1696	陇	G0-4224	GB/T 2312—1980，34—04
1697	楼	G0-4225	GB/T 2312—1980，34—05
1698	娄	G0-4226	GB/T 2312—1980，34—06
1699	搂	G0-4227	GB/T 2312—1980，34—07
1700	篓	G0-4228	GB/T 2312—1980，34—08
1701	漏	G0-4229	GB/T 2312—1980，34—09
1702	陋	G0-422A	GB/T 2312—1980，34—10
1703	芦	G0-422B	GB/T 2312—1980，34—11
1704	卢	G0-422C	GB/T 2312—1980，34—12
1705	颅	G0-422D	GB/T 2312—1980，34—13
1706	庐	G0-422E	GB/T 2312—1980，34—14
1707	炉	G0-422F	GB/T 2312—1980，34—15
1708	掳	G0-4230	GB/T 2312—1980，34—16
1709	卤	G0-4231	GB/T 2312—1980，34—17
1710	虏	G0-4232	GB/T 2312—1980，34—18
1711	鲁	G0-4233	GB/T 2312—1980，34—19
1712	麓	G0-4234	GB/T 2312—1980，34—20
1713	碌	G0-4235	GB/T 2312—1980，34—21
1714	露	G0-4236	GB/T 2312—1980，34—22
1715	路	G0-4237	GB/T 2312—1980，34—23
1716	赂	G0-4238	GB/T 2312—1980，34—24
1717	鹿	G0-4239	GB/T 2312—1980，34—25
1718	潞	G0-423A	GB/T 2312—1980，34—26
1719	禄	G0-423B	GB/T 2312—1980，34—27
1720	录	G0-423C	GB/T 2312—1980，34—28
1721	陆	G0-423D	GB/T 2312—1980，34—29
1722	戮	G0-423E	GB/T 2312—1980，34—30
1723	驴	G0-423F	GB/T 2312—1980，34—31
1724	吕	G0-4240	GB/T 2312—1980，34—32
1725	铝	G0-4241	GB/T 2312—1980，34—33
1726	侣	G0-4242	GB/T 2312—1980，34—34
1727	旅	G0-4243	GB/T 2312—1980，34—35
1728	履	G0-4244	GB/T 2312—1980，34—36
1729	屡	G0-4245	GB/T 2312—1980，34—37
1730	缕	G0-4246	GB/T 2312—1980，34—38
1731	虑	G0-4247	GB/T 2312—1980，34—39
1732	氯	G0-4248	GB/T 2312—1980，34—40
1733	律	G0-4249	GB/T 2312—1980，34—41
1734	率	G0-424A	GB/T 2312—1980，34—42
1735	滤	G0-424B	GB/T 2312—1980，34—43
1736	绿	G0-424C	GB/T 2312—1980，34—44
1737	峦	G0-424D	GB/T 2312—1980，34—45
1738	挛	G0-424E	GB/T 2312—1980，34—46
1739	孪	G0-424F	GB/T 2312—1980，34—47
1740	滦	G0-4250	GB/T 2312—1980，34—48
1741	卵	G0-4251	GB/T 2312—1980，34—49
1742	乱	G0-4252	GB/T 2312—1980，34—50
1743	掠	G0-4253	GB/T 2312—1980，34—51
1744	略	G0-4254	GB/T 2312—1980，34—52
1745	抡	G0-4255	GB/T 2312—1980，34—53
1746	轮	G0-4256	GB/T 2312—1980，34—54
1747	伦	G0-4257	GB/T 2312—1980，34—55
1748	仑	G0-4258	GB/T 2312—1980，34—56
1749	沦	G0-4259	GB/T 2312—1980，34—57
1750	纶	G0-425A	GB/T 2312—1980，34—58
1751	论	G0-425B	GB/T 2312—1980，34—59
1752	萝	G0-425C	GB/T 2312—1980，34—60
1753	螺	G0-425D	GB/T 2312—1980，34—61
1754	罗	G0-425E	GB/T 2312—1980，34—62
1755	逻	G0-425F	GB/T 2312—1980，34—63
1756	锣	G0-4260	GB/T 2312—1980，34—64
1757	箩	G0-4261	GB/T 2312—1980，34—65
1758	骡	G0-4262	GB/T 2312—1980，34—66
1759	裸	G0-4263	GB/T 2312—1980，34—67
1760	落	G0-4264	GB/T 2312—1980，34—68
1761	洛	G0-4265	GB/T 2312—1980，34—69
1762	骆	G0-4266	GB/T 2312—1980，34—70
1763	络	G0-4267	GB/T 2312—1980，34—71
1764	妈	G0-4268	GB/T 2312—1980，34—72
1765	麻	G0-4269	GB/T 2312—1980，34—73
1766	玛	G0-426A	GB/T 2312—1980，34—74
1767	码	G0-426B	GB/T 2312—1980，34—75
1768	蚂	G0-426C	GB/T 2312—1980，34—76
1769	马	G0-426D	GB/T 2312—1980，34—77
1770	骂	G0-426E	GB/T 2312—1980，34—78
1771	嘛	G0-426F	GB/T 2312—1980，34—79
1772	吗	G0-4270	GB/T 2312—1980，34—80
1773	埋	G0-4271	GB/T 2312—1980，34—81
1774	买	G0-4272	GB/T 2312—1980，34—82
1775	麦	G0-4273	GB/T 2312—1980，34—83
1776	卖	G0-4274	GB/T 2312—1980，34—84
1777	迈	G0-4275	GB/T 2312—1980，34—85
1778	脉	G0-4276	GB/T 2312—1980，34—86
1779	瞒	G0-4277	GB/T 2312—1980，34—87
1780	馒	G0-4278	GB/T 2312—1980，34—88
1781	蛮	G0-4279	GB/T 2312—1980，34—89
1782	满	G0-427A	GB/T 2312—1980，34—90
1783	蔓	G0-427B	GB/T 2312—1980，34—91
1784	曼	G0-427C	GB/T 2312—1980，34—92
1785	慢	G0-427D	GB/T 2312—1980，34—93
1786	漫	G0-427E	GB/T 2312—1980，34—94
1787	谩	G0-4321	GB/T 2312—1980，35—01
1788	芒	G0-4322	GB/T 2312—1980，35—02
1789	茫	G0-4323	GB/T 2312—1980，35—03
1790	盲	G0-4324	GB/T 2312—1980，35—04
1791	氓	G0-4325	GB/T 2312—1980，35—05
1792	忙	G0-4326	GB/T 2312—1980，35—06
1793	莽	G0-4327	GB/T 2312—1980，35—07
1794	猫	G0-4328	GB/T 2312—1980，35—08
1795	茅	G0-4329	GB/T 2312—1980，35—09
1796	锚	G0-432A	GB/T 2312—1980，35—10
1797	毛	G0-432B	GB/T 2312—1980，35—11
1798	矛	G0-432C	GB/T 2312—1980，35—12
1799	铆	G0-432D	GB/T 2312—1980，35—13
1800	卯	G0-432E	GB/T 2312—1980，35—14
1801	茂	G0-432F	GB/T 2312—1980，35—15
1802	冒	G0-4330	GB/T 2312—1980，35—16
1803	帽	G0-4331	GB/T 2312—1980，35—17
1804	貌	G0-4332	GB/T 2312—1980，35—18
1805	贸	G0-4333	GB/T 2312—1980，35—19
1806	么	G0-4334	GB/T 2312—1980，35—20
1807	玫	G0-4335	GB/T 2312—1980，35—21
1808	枚	G0-4336	GB/T 2312—1980，35—22
1809	梅	G0-4337	GB/T 2312—1980，35—23
1810	酶	G0-4338	GB/T 2312—1980，35—24
1811	霉	G0-4339	GB/T 2312—1980，35—25
1812	煤	G0-433A	GB/T 2312—1980，35—26
1813	没	G0-433B	GB/T 2312—1980，35—27
1814	眉	G0-433C	GB/T 2312—1980，35—28
1815	媒	G0-433D	GB/T 2312—1980，35—29
1816	镁	G0-433E	GB/T 2312—1980，35—30
1817	每	G0-433F	GB/T 2312—1980，35—31
1818	美	G0-4340	GB/T 2312—1980，35—32
1819	昧	G0-4341	GB/T 2312—1980，35—33
1820	寐	G0-4342	GB/T 2312—1980，35—34
1821	妹	G0-4343	GB/T 2312—1980，35—35
1822	媚	G0-4344	GB/T 2312—1980，35—36
1823	门	G0-4345	GB/T 2312—1980，35—37
1824	闷	G0-4346	GB/T 2312—1980，35—38
1825	们	G0-4347	GB/T 2312—1980，35—39
1826	萌	G0-4348	GB/T 2312—1980，35—40
1827	蒙	G0-4349	GB/T 2312—1980，35—41
1828	檬	G0-434A	GB/T 2312—1980，35—42
1829	盟	G0-434B	GB/T 2312—1980，35—43
1830	锰	G0-434C	GB/T 2312—1980，35—44
1831	猛	G0-434D	GB/T 2312—1980，35—45
1832	梦	G0-434E	GB/T 2312—1980，35—46
1833	孟	G0-434F	GB/T 2312—1980，35—47
1834	眯	G0-4350	GB/T 2312—1980，35—48
1835	醚	G0-4351	GB/T 2312—1980，35—49
1836	靡	G0-4352	GB/T 2312—1980，35—50
1837	糜	G0-4353	GB/T 2312—1980，35—51
1838	迷	G0-4354	GB/T 2312—1980，35—52
1839	谜	G0-4355	GB/T 2312—1980，35—53
1840	弥	G0-4356	GB/T 2312—1980，35—54
1841	米	G0-4357	GB/T 2312—1980，35—55
1842	秘	G0-4358	GB/T 2312—1980，35—56
1843	觅	G0-4359	GB/T 2312—1980，35—57
1844	泌	G0-435A	GB/T 2312—1980，35—58
1845	蜜	G0-435B	GB/T 2312—1980，35—59
1846	密	G0-435C	GB/T 2312—1980，35—60
1847	幂	G0-435D	GB/T 2312—1980，35—61
1848	棉	G0-435E	GB/T 2312—1980，35—62
1849	眠	G0-435F	GB/T 2312—1980，35—63
1850	绵	G0-4360	GB/T 2312—1980，35—64
1851	冕	G0-4361	GB/T 2312—1980，35—65
1852	免	G0-4362	GB/T 2312—1980，35—66
1853	勉	G0-4363	GB/T 2312—1980，35—67
1854	娩	G0-4364	GB/T 2312—1980，35—68
1855	缅	G0-4365	GB/T 2312—1980，35—69
1856	面	G0-4366	GB/T 2312—1980，35—70
1857	苗	G0-4367	GB/T 2312—1980，35—71
1858	描	G0-4368	GB/T 2312—1980，35—72
1859	瞄	G0-4369	GB/T 2312—1980，35—73
1860	藐	G0-436A	GB/T 2312—1980，35—74
1861	秒	G0-436B	GB/T 2312—1980，35—75
1862	渺	G0-436C	GB/T 2312—1980，35—76
1863	庙	G0-436D	GB/T 2312—1980，35—77
1864	妙	G0-436E	GB/T 2312—1980，35—78
1865	蔑	G0-436F	GB/T 2312—1980，35—79
1866	灭	G0-4370	GB/T 2312—1980，35—80
1867	民	G0-4371	GB/T 2312—1980，35—81
1868	抿	G0-4372	GB/T 2312—1980，35—82
1869	皿	G0-4373	GB/T 2312—1980，35—83
1870	敏	G0-4374	GB/T 2312—1980，35—84
1871	悯	G0-4375	GB/T 2312—1980，35—85
1872	闽	G0-4376	GB/T 2312—1980，35—86
1873	明	G0-4377	GB/T 2312—1980，35—87
1874	螟	G0-4378	GB/T 2312—1980，35—88
1875	鸣	G0-4379	GB/T 2312—1980，35—89
1876	铭	G0-437A	GB/T 2312—1980，35—90
1877	名	G0-437B	GB/T 2312—1980，35—91
1878	命	G0-437C	GB/T 2312—1980，35—92
1879	谬	G0-437D	GB/T 2312—1980，35—93
1880	摸	G0-437E	GB/T 2312—1980，35—94
1881	摹	G0-4421	GB/T 2312—1980，36—01
1882	蘑	G0-4422	GB/T 2312—1980，36—02
1883	模	G0-4423	GB/T 2312—1980，36—03
1884	膜	G0-4424	GB/T 2312—1980，36—04
1885	磨	G0-4425	GB/T 2312—1980，36—05
1886	摩	G0-4426	GB/T 2312—1980，36—06
1887	魔	G0-4427	GB/T 2312—1980，36—07
1888	抹	G0-4428	GB/T 2312—1980，36—08
1889	末	G0-4429	GB/T 2312—1980，36—09
1890	莫	G0-442A	GB/T 2312—1980，36—10
1891	墨	G0-442B	GB/T 2312—1980，36—11
1892	默	G0-442C	GB/T 2312—1980，36—12
1893	沫	G0-442D	GB/T 2312—1980，36—13
1894	漠	G0-442E	GB/T 2312—1980，36—14
1895	寞	G0-442F	GB/T 2312—1980，36—15
1896	陌	G0-4430	GB/T 2312—1980，36—16
1897	谋	G0-4431	GB/T 2312—1980，36—17
1898	牟	G0-4432	GB/T 2312—1980，36—18
1899	某	G0-4433	GB/T 2312—1980，36—19
1900	拇	G0-4434	GB/T 2312—1980，36—20
1901	牡	G0-4435	GB/T 2312—1980，36—21
1902	亩	G0-4436	GB/T 2312—1980，36—22
