num	glyph	G0-source	description
124	本	G0-313E	GB/T 2312—1980，17—30
125	笨	G0-313F	GB/T 2312—1980，17—31
126	崩	G0-3140	GB/T 2312—1980，17—32
127	绷	G0-3141	GB/T 2312—1980，17—33
128	甭	G0-3142	GB/T 2312—1980，17—34
129	泵	G0-3143	GB/T 2312—1980，17—35
130	蹦	G0-3144	GB/T 2312—1980，17—36
131	迸	G0-3145	GB/T 2312—1980，17—37
132	逼	G0-3146	GB/T 2312—1980，17—38
133	鼻	G0-3147	GB/T 2312—1980，17—39
134	比	G0-3148	GB/T 2312—1980，17—40
135	鄙	G0-3149	GB/T 2312—1980，17—41
136	笔	G0-314A	GB/T 2312—1980，17—42
137	彼	G0-314B	GB/T 2312—1980，17—43
138	碧	G0-314C	GB/T 2312—1980，17—44
139	蓖	G0-314D	GB/T 2312—1980，17—45
140	蔽	G0-314E	GB/T 2312—1980，17—46
141	毕	G0-314F	GB/T 2312—1980，17—47
142	毙	G0-3150	GB/T 2312—1980，17—48
143	毖	G0-3151	GB/T 2312—1980，17—49
144	币	G0-3152	GB/T 2312—1980，17—50
145	庇	G0-3153	GB/T 2312—1980，17—51
146	痹	G0-3154	GB/T 2312—1980，17—52
147	闭	G0-3155	GB/T 2312—1980，17—53
148	敝	G0-3156	GB/T 2312—1980，17—54
149	弊	G0-3157	GB/T 2312—1980，17—55
150	必	G0-3158	GB/T 2312—1980，17—56
151	辟	G0-3159	GB/T 2312—1980，17—57
152	壁	G0-315A	GB/T 2312—1980，17—58
153	臂	G0-315B	GB/T 2312—1980，17—59
154	避	G0-315C	GB/T 2312—1980，17—60
155	陛	G0-315D	GB/T 2312—1980，17—61
156	鞭	G0-315E	GB/T 2312—1980，17—62
157	边	G0-315F	GB/T 2312—1980，17—63
158	编	G0-3160	GB/T 2312—1980，17—64
159	贬	G0-3161	GB/T 2312—1980，17—65
160	扁	G0-3162	GB/T 2312—1980，17—66
161	便	G0-3163	GB/T 2312—1980，17—67
162	变	G0-3164	GB/T 2312—1980，17—68
163	卞	G0-3165	GB/T 2312—1980，17—69
164	辨	G0-3166	GB/T 2312—1980，17—70
165	辩	G0-3167	GB/T 2312—1980，17—71
166	辫	G0-3168	GB/T 2312—1980，17—72
167	遍	G0-3169	GB/T 2312—1980，17—73
168	标	G0-316A	GB/T 2312—1980，17—74
169	彪	G0-316B	GB/T 2312—1980，17—75
170	膘	G0-316C	GB/T 2312—1980，17—76
171	表	G0-316D	GB/T 2312—1980，17—77
172	鳖	G0-316E	GB/T 2312—1980，17—78
173	憋	G0-316F	GB/T 2312—1980，17—79
174	别	G0-3170	GB/T 2312—1980，17—80
175	瘪	G0-3171	GB/T 2312—1980，17—81
176	彬	G0-3172	GB/T 2312—1980，17—82
177	斌	G0-3173	GB/T 2312—1980，17—83
178	濒	G0-3174	GB/T 2312—1980，17—84
179	滨	G0-3175	GB/T 2312—1980，17—85
180	宾	G0-3176	GB/T 2312—1980，17—86
181	摈	G0-3177	GB/T 2312—1980，17—87
182	兵	G0-3178	GB/T 2312—1980，17—88
183	冰	G0-3179	GB/T 2312—1980，17—89
184	柄	G0-317A	GB/T 2312—1980，17—90
185	丙	G0-317B	GB/T 2312—1980，17—91
186	秉	G0-317C	GB/T 2312—1980，17—92
187	饼	G0-317D	GB/T 2312—1980，17—93
188	炳	G0-317E	GB/T 2312—1980，17—94
189	病	G0-3221	GB/T 2312—1980，18—01
190	并	G0-3222	GB/T 2312—1980，18—02
191	玻	G0-3223	GB/T 2312—1980，18—03
192	菠	G0-3224	GB/T 2312—1980，18—04
193	播	G0-3225	GB/T 2312—1980，18—05
194	拨	G0-3226	GB/T 2312—1980，18—06
195	钵	G0-3227	GB/T 2312—1980，18—07
196	波	G0-3228	GB/T 2312—1980，18—08
197	博	G0-3229	GB/T 2312—1980，18—09
198	勃	G0-322A	GB/T 2312—1980，18—10
199	搏	G0-322B	GB/T 2312—1980，18—11
200	铂	G0-322C	GB/T 2312—1980，18—12
201	箔	G0-322D	GB/T 2312—1980，18—13
202	伯	G0-322E	GB/T 2312—1980，18—14
203	帛	G0-322F	GB/T 2312—1980，18—15
204	舶	G0-3230	GB/T 2312—1980，18—16
205	脖	G0-3231	GB/T 2312—1980，18—17
206	膊	G0-3232	GB/T 2312—1980，18—18
207	渤	G0-3233	GB/T 2312—1980，18—19
208	泊	G0-3234	GB/T 2312—1980，18—20
209	驳	G0-3235	GB/T 2312—1980，18—21
210	捕	G0-3236	GB/T 2312—1980，18—22
211	卜	G0-3237	GB/T 2312—1980，18—23
212	哺	G0-3238	GB/T 2312—1980，18—24
213	补	G0-3239	GB/T 2312—1980，18—25
214	埠	G0-323A	GB/T 2312—1980，18—26
215	不	G0-323B	GB/T 2312—1980，18—27
216	布	G0-323C	GB/T 2312—1980，18—28
217	步	G0-323D	GB/T 2312—1980，18—29
218	簿	G0-323E	GB/T 2312—1980，18—30
219	部	G0-323F	GB/T 2312—1980，18—31
220	怖	G0-3240	GB/T 2312—1980，18—32
221	擦	G0-3241	GB/T 2312—1980，18—33
222	猜	G0-3242	GB/T 2312—1980，18—34
223	裁	G0-3243	GB/T 2312—1980，18—35
224	材	G0-3244	GB/T 2312—1980，18—36
225	才	G0-3245	GB/T 2312—1980，18—37
226	财	G0-3246	GB/T 2312—1980，18—38
227	睬	G0-3247	GB/T 2312—1980，18—39
228	踩	G0-3248	GB/T 2312—1980，18—40
229	采	G0-3249	GB/T 2312—1980，18—41
230	彩	G0-324A	GB/T 2312—1980，18—42
231	菜	G0-324B	GB/T 2312—1980，18—43
232	蔡	G0-324C	GB/T 2312—1980，18—44
233	餐	G0-324D	GB/T 2312—1980，18—45
234	参	G0-324E	GB/T 2312—1980，18—46
235	蚕	G0-324F	GB/T 2312—1980，18—47
236	残	G0-3250	GB/T 2312—1980，18—48
237	惭	G0-3251	GB/T 2312—1980，18—49
238	惨	G0-3252	GB/T 2312—1980，18—50
239	灿	G0-3253	GB/T 2312—1980，18—51
240	苍	G0-3254	GB/T 2312—1980，18—52
241	舱	G0-3255	GB/T 2312—1980，18—53
242	仓	G0-3256	GB/T 2312—1980，18—54
243	沧	G0-3257	GB/T 2312—1980，18—55
244	藏	G0-3258	GB/T 2312—1980，18—56
245	操	G0-3259	GB/T 2312—1980，18—57
246	糙	G0-325A	GB/T 2312—1980，18—58
247	槽	G0-325B	GB/T 2312—1980，18—59
248	曹	G0-325C	GB/T 2312—1980，18—60
249	草	G0-325D	GB/T 2312—1980，18—61
250	厕	G0-325E	GB/T 2312—1980，18—62
251	策	G0-325F	GB/T 2312—1980，18—63
252	侧	G0-3260	GB/T 2312—1980，18—64
253	册	G0-3261	GB/T 2312—1980，18—65
254	测	G0-3262	GB/T 2312—1980，18—66
255	层	G0-3263	GB/T 2312—1980，18—67
256	蹭	G0-3264	GB/T 2312—1980，18—68
257	插	G0-3265	GB/T 2312—1980，18—69
258	叉	G0-3266	GB/T 2312—1980，18—70
259	茬	G0-3267	GB/T 2312—1980，18—71
260	茶	G0-3268	GB/T 2312—1980，18—72
261	查	G0-3269	GB/T 2312—1980，18—73
262	碴	G0-326A	GB/T 2312—1980，18—74
263	搽	G0-326B	GB/T 2312—1980，18—75
264	察	G0-326C	GB/T 2312—1980，18—76
265	岔	G0-326D	GB/T 2312—1980，18—77
266	差	G0-326E	GB/T 2312—1980，18—78
267	诧	G0-326F	GB/T 2312—1980，18—79
268	拆	G0-3270	GB/T 2312—1980，18—80
269	柴	G0-3271	GB/T 2312—1980，18—81
270	豺	G0-3272	GB/T 2312—1980，18—82
271	搀	G0-3273	GB/T 2312—1980，18—83
272	掺	G0-3274	GB/T 2312—1980，18—84
273	蝉	G0-3275	GB/T 2312—1980，18—85
274	馋	G0-3276	GB/T 2312—1980，18—86
275	谗	G0-3277	GB/T 2312—1980，18—87
276	缠	G0-3278	GB/T 2312—1980，18—88
277	铲	G0-3279	GB/T 2312—1980，18—89
278	产	G0-327A	GB/T 2312—1980，18—90
279	阐	G0-327B	GB/T 2312—1980，18—91
280	颤	G0-327C	GB/T 2312—1980，18—92
281	昌	G0-327D	GB/T 2312—1980，18—93
282	猖	G0-327E	GB/T 2312—1980，18—94
283	场	G0-3321	GB/T 2312—1980，19—01
284	尝	G0-3322	GB/T 2312—1980，19—02
285	常	G0-3323	GB/T 2312—1980，19—03
286	长	G0-3324	GB/T 2312—1980，19—04
287	偿	G0-3325	GB/T 2312—1980，19—05
288	肠	G0-3326	GB/T 2312—1980，19—06
289	厂	G0-3327	GB/T 2312—1980，19—07
290	敞	G0-3328	GB/T 2312—1980，19—08
291	畅	G0-3329	GB/T 2312—1980，19—09
292	唱	G0-332A	GB/T 2312—1980，19—10
293	倡	G0-332B	GB/T 2312—1980，19—11
294	超	G0-332C	GB/T 2312—1980，19—12
295	抄	G0-332D	GB/T 2312—1980，19—13
296	钞	G0-332E	GB/T 2312—1980，19—14
297	朝	G0-332F	GB/T 2312—1980，19—15
298	嘲	G0-3330	GB/T 2312—1980，19—16
299	潮	G0-3331	GB/T 2312—1980，19—17
300	巢	G0-3332	GB/T 2312—1980，19—18
301	吵	G0-3333	GB/T 2312—1980，19—19
302	炒	G0-3334	GB/T 2312—1980，19—20
303	车	G0-3335	GB/T 2312—1980，19—21
304	扯	G0-3336	GB/T 2312—1980，19—22
305	撤	G0-3337	GB/T 2312—1980，19—23
306	掣	G0-3338	GB/T 2312—1980，19—24
307	彻	G0-3339	GB/T 2312—1980，19—25
308	澈	G0-333A	GB/T 2312—1980，19—26
309	郴	G0-333B	GB/T 2312—1980，19—27
310	臣	G0-333C	GB/T 2312—1980，19—28
311	辰	G0-333D	GB/T 2312—1980，19—29
312	尘	G0-333E	GB/T 2312—1980，19—30
313	晨	G0-333F	GB/T 2312—1980，19—31
314	忱	G0-3340	GB/T 2312—1980，19—32
